City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Mandalgovi,MN,45.7625,106.2708,59.14,55,100,15.03,overcast clouds
88,Saldanha,ZA,-33.0117,17.9442,46.45,81,99,10.38,overcast clouds
89,Tiksi,RU,71.6872,128.8694,42.06,81,91,8.39,overcast clouds
90,Hongjiang,CN,27.11,109.9956,77.94,90,44,3.89,scattered clouds
91,Hilo,US,19.7297,-155.09,84.27,90,75,5.75,light rain
92,Provideniya,RU,64.3833,-173.3,42.91,87,100,15.99,light rain
93,Nouadhibou,MR,20.931,-17.0347,75.18,88,18,10.36,few clouds
94,Soimi,RO,46.6833,22.1167,67.8,29,1,5.03,clear sky
95,Hermanus,ZA,-34.4187,19.2345,52.9,76,100,5.06,overcast clouds
96,Kushmurun,KZ,52.4503,64.6311,60.57,67,1,5.7,clear sky
97,Sorland,NO,67.667,12.6934,51.66,92,100,20.4,light rain
98,Nikolskoye,RU,59.7035,30.7861,65.8,89,0,3.09,clear sky
99,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,52,12.62,light rain
100,Yellowknife,CA,62.456,-114.3525,70.32,37,75,9.22,broken clouds
101,Tasiilaq,GL,65.6145,-37.6368,39.07,78,84,3.15,broken clouds
102,Giyon,ET,8.5333,37.9833,55.42,91,84,1.23,broken clouds
103,Mykhaylivka,UA,47.2724,35.2224,63.77,69,10,8.68,clear sky
104,Lorengau,PG,-2.0226,147.2712,83.59,74,87,10.16,overcast clouds
105,Atuona,PF,-9.8,-139.0333,77.31,73,14,15.26,few clouds
106,Pitimbu,BR,-7.4706,-34.8086,73.99,85,93,8.3,overcast clouds
107,Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,mist
108,Ewa Beach,US,21.3156,-158.0072,83.98,61,40,18.99,scattered clouds
109,Hithadhoo,MV,-0.6,73.0833,79.95,75,100,8.03,very heavy rain
110,Coos Bay,US,43.3665,-124.2179,75.31,87,32,1.01,scattered clouds
111,Port Hawkesbury,CA,45.6169,-61.3485,79.92,77,0,8.05,clear sky
112,Majene,ID,-3.5403,118.9707,77.25,90,96,11.07,overcast clouds
113,Ondjiva,AO,-17.0667,15.7333,55.29,35,0,6.93,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,49.44,87,37,5.48,scattered clouds
115,Bilibino,RU,68.0546,166.4372,45.19,61,98,8.21,overcast clouds
116,Mana,GF,5.6592,-53.7767,78.28,85,21,8.88,few clouds
117,Emba,KZ,48.8264,58.1442,73.58,37,99,12.19,overcast clouds
118,Pevek,RU,69.7008,170.3133,32.05,100,100,11.07,snow
119,Kavaratti,IN,10.5669,72.642,81.12,77,100,20.67,overcast clouds
120,Oranjemund,NA,-28.55,16.4333,55.38,77,1,5.79,clear sky
121,Bambanglipuro,ID,-7.95,110.2833,75.2,84,100,8.95,overcast clouds
122,Aklavik,CA,68.2191,-135.0107,66.2,68,75,8.05,broken clouds
123,Tomari,RU,47.7658,142.0683,60.82,82,100,4.07,overcast clouds
124,Plettenberg Bay,ZA,-34.0527,23.3716,54.95,70,69,3.98,broken clouds
125,Barrow,US,71.2906,-156.7887,46.42,76,75,27.63,broken clouds
126,Nieuw Nickerie,SR,5.95,-56.9833,79.47,83,30,10.38,scattered clouds
127,Malabo,GQ,3.75,8.7833,73.26,94,75,6.91,broken clouds
128,Dingle,PH,10.9995,122.6711,79.75,90,97,5.59,overcast clouds
129,Doha,QA,25.2867,51.5333,93.51,79,0,9.22,clear sky
130,Ponta Do Sol,PT,32.6667,-17.1,71.71,82,3,6.17,clear sky
131,New Norfolk,AU,-42.7826,147.0587,46.92,82,2,3.06,clear sky
132,Bloomfield,US,40.8068,-74.1854,95.92,43,20,13.8,few clouds
133,Charters Towers,AU,-20.1,146.2667,61.84,67,1,7.92,clear sky
134,Sioux Lookout,CA,50.1001,-91.917,77.07,44,40,12.66,scattered clouds
135,Chumikan,RU,54.7183,135.315,54.28,96,100,2.8,overcast clouds
136,Porto Novo,BJ,6.4965,2.6036,78.62,79,48,7.29,scattered clouds
137,East London,ZA,-33.0153,27.9116,58.82,77,2,7.54,clear sky
138,Hamilton,US,39.1834,-84.5333,89.44,50,0,4.0,clear sky
139,Livny,RU,52.4253,37.6069,55.42,95,79,11.18,broken clouds
140,Margate,GB,51.3813,1.3862,64.9,79,14,5.01,few clouds
141,Acapulco,MX,16.8634,-99.8901,85.46,72,91,6.6,overcast clouds
142,Laguna,US,38.421,-121.4238,103.75,24,0,4.61,clear sky
143,Fonte Boa,BR,-2.4959,-66.2662,74.35,97,81,1.88,broken clouds
