City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Turukhansk,RU,56.77,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
361,Halifax,CA,75.09,mist,44.6453,-63.5724,Hotel Halifax
363,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Novotel Dakar
364,Kutum,SD,75.74,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
365,Lata,PT,58.95,scattered clouds,40.1629,-8.3327,Casa Maquia
366,Mehtar Lam,AF,80.64,overcast clouds,34.6714,70.2094,Fareed Hakamani
369,Gagnoa,CI,67.55,broken clouds,6.1293,-5.9437,Residence Kiliyo
370,Casino,AU,58.82,moderate rain,-28.8667,153.05,Squatters Homestead Motel
371,Mazamari,PE,76.42,clear sky,-11.3258,-74.5308,Hospedaje Ratto
372,Nanchang,CN,84.42,broken clouds,28.6833,115.8833,Ruidu Hotel
373,Fort Wellington,GY,78.51,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
374,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Marsh Harbour,BS,83.35,few clouds,26.5412,-77.0636,Abaco Beach Resort
376,Capilla De Guadalupe,MX,83.62,few clouds,20.8333,-102.5833,Hotel Estancia Real
377,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
380,Severo-Kurilsk,RU,53.83,heavy intensity rain,50.6789,156.125,Kak Doma
381,Caceres,ES,78.87,overcast clouds,39.522,-6.3748,Ahc Hoteles
382,Oldenzaal,NL,61.93,overcast clouds,52.3,6.9333,Hotel 't Kruisselt
383,Vaitape,PF,77.5,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
384,Churapcha,RU,76.06,clear sky,62.0025,132.4325,"""Tusku"""
386,Hengyang,CN,80.89,scattered clouds,26.8881,112.615,Honglin Guesthouse
388,Santiago,CL,61.75,clear sky,-33.4569,-70.6483,Hotel Panamericano
390,Piacabucu,BR,72.86,broken clouds,-10.4056,-36.4344,Piaçabuçu News
391,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
392,Ruteng,ID,61.07,broken clouds,-8.6136,120.4721,Hotel FX 72
393,Sola,VU,80.28,moderate rain,-13.8833,167.55,Leumerus Bungalows
394,Ust-Ilimsk,RU,62.37,broken clouds,58.0006,102.6619,AleNat Center
395,Rairangpur,IN,79.65,overcast clouds,22.2676,86.1751,@𝓞𝓜𝓜 𝓝𝓘𝓝𝓘 𝓜𝓘𝓛𝓛 𝓗𝓞𝓣𝓔𝓛
396,Nanakuli,US,83.98,scattered clouds,21.3906,-158.1547,Camp Pālehua
397,Vuktyl,RU,53.56,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
398,Tamiahua,MX,86.77,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
399,Genhe,CN,71.67,few clouds,50.7833,121.5167,Companionship Hotel
400,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
401,Moroni,KM,73.18,clear sky,-11.7022,43.2551,Hotel Les Arcades
402,Bonavista,CA,58.03,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
403,Kailua,US,84.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
405,Broome,US,85.08,broken clouds,42.2506,-75.833,Chenango Valley State Park
406,Invermere,CA,91.42,scattered clouds,50.5167,-116.0354,Copper Point Resort
